,total_h2_sold_per_station,prioritize,profitability threshold,longitude,latitude,station_location,size_station,cumulative_demand,property,nearby_total_station,new_h2_demand,new_profitability_threshold,new_profitability
0,25141.76,1.0,6.285399999999999,5.00451,49.44561,hub,large,0.0393019465485231,ours,1.0,25141.76,6.2854399999999995,profitable
1,18565.12,1.0,4.6413,4.89524472,44.03162786,hub,large,0.0683231985971832,ours,6.0,3094.1866666666665,0.7735466666666666,profitable
4,10805.76,1.0,2.7014,1.6561556,48.3304943,hub,large,0.1295591609315179,ours,2.0,5402.88,1.35072,profitable
12,8171.52,1.0,2.0429,2.47657425,49.26489755,hub,large,0.2418309319185397,ours,3.0,2723.84,0.68096,profitable
14,7490.559999999999,1.0,1.8726,-1.0490777295677982,47.2574172,hub,large,0.2661460349863359,ours,1.0,7490.559999999999,1.8726399999999996,profitable
17,7239.679999999999,1.0,1.8099,4.9287265,43.3973905,hub,large,0.3005177302215732,ours,3.0,2413.2266666666665,0.6033066666666667,profitable
18,7185.92,1.0,1.7965,-0.2057893552874009,46.98320275,hub,large,0.3117508596342302,ours,2.0,3592.96,0.89824,profitable
19,7114.24,1.0,1.7786000000000002,-0.5957869999999998,48.5500968,hub,large,0.3228719378806762,ours,1.0,7114.24,1.77856,profitable
21,6218.24,1.0,1.5546,2.3462084,49.88572855,hub,large,0.3434613396719553,ours,2.0,3109.12,0.77728,profitable
22,5806.08,1.0,1.4515,3.4900652,49.4723325,hub,large,0.3525374841350497,ours,2.0,2903.04,0.72576,profitable
23,5555.2,1.0,1.3888,7.3579641,48.0777517,hub,large,0.3612214495164055,ours,2.0,2777.6,0.6944,profitable
24,5501.4400000000005,1.0,1.3754,3.30819445,49.81625,hub,large,0.369821376523103,ours,2.0,2750.7200000000003,0.6876800000000001,profitable
29,5196.8,1.0,1.2992,1.19692,45.18516,hub,large,0.4111259969979953,ours,1.0,5196.8,1.2992000000000001,profitable
31,5165.115336363348,1.0,1.291278834090837,4.797245451617696,44.6710621306595,road,large,0.4272743562907981,ours,2.0,2582.557668181674,0.6456394170454186,profitable
39,4895.888092983353,1.0,1.2239720232458382,2.8950283531836454,42.78275379534364,road,large,0.4896730215797798,ours,2.0,2447.9440464916765,0.6119860116229191,profitable
40,4895.888092983353,1.0,1.2239720232458382,2.8569308097380333,42.47539934548716,road,large,0.4973263414801361,ours,1.0,4895.888092983353,1.2239720232458382,profitable
42,4797.222221021053,1.0,1.1993055552552632,1.9450172595926865,43.28841170379598,road,large,0.5123608664541308,ours,1.0,4797.222221021053,1.1993055552552632,profitable
68,3727.36,1.0,0.9318,-117.8704931,33.7500378,hub,large,0.6836935401487849,ours,1.0,3727.36,0.93184,profitable
78,3118.08,1.0,0.7795000000000001,0.3250000000000002,49.0211111,hub,large,0.7364247802523828,ours,1.0,3118.08,0.77952,profitable
95,2580.48,1.0,0.6451,5.348031,49.1706321,hub,large,0.8111701885513396,ours,1.0,2580.48,0.64512,profitable
108,1997.8830325894428,1.0,0.9989415162947214,1.2307826173404142,47.97737559754724,road,medium,0.8608244835896317,ours,1.0,1997.8830325894428,0.9989415162947214,profitable
109,1997.8830325894428,1.0,0.9989415162947214,0.1601671345671602,46.2114804408092,road,medium,0.8639476019455874,ours,1.0,1997.8830325894428,0.9989415162947214,profitable
114,1951.8533765922832,1.0,0.9759266882961416,3.446472928662317,43.65626162907388,road,medium,0.8794055868435193,ours,1.0,1951.8533765922832,0.9759266882961416,profitable
117,1949.5024299522104,1.0,0.9747512149761052,2.1958541299163987,48.114848625760814,road,medium,0.8885517292644869,ours,1.0,1949.5024299522104,0.9747512149761052,profitable
123,1933.297749885398,1.0,0.966648874942699,-0.5999157235849718,45.57627441561726,road,medium,0.9066846757634688,ours,1.0,1933.297749885398,0.966648874942699,profitable
124,1921.4392113522165,1.0,0.9607196056761084,0.869293969817245,46.26372348566887,road,medium,0.9096882960820466,ours,1.0,1921.4392113522165,0.9607196056761083,profitable
2,na,na,na,2.12815,49.409445,na,na,na,total,na,na,na,na
6,na,na,na,2.1488045,48.6371317,na,na,na,total,na,na,na,na
11,na,na,na,3.2713774,49.8486264,na,na,na,total,na,na,na,na
14,na,na,na,0.6275373,49.3722338,na,na,na,total,na,na,na,na
16,na,na,na,2.4703296,49.0155943,na,na,na,total,na,na,na,na
17,na,na,na,-1.0907038,46.070484,na,na,na,total,na,na,na,na
18,na,na,na,4.4006478,43.8504639,na,na,na,total,na,na,na,na
20,na,na,na,2.6332823,48.6105416,na,na,na,total,na,na,na,na
28,na,na,na,4.8354827,46.9625676,na,na,na,total,na,na,na,na
29,na,na,na,3.6991168,45.1248871,na,na,na,total,na,na,na,na
31,na,na,na,3.2031833,50.1760599,na,na,na,total,na,na,na,na
35,na,na,na,6.1652066,49.2976215,na,na,na,total,na,na,na,na
37,na,na,na,6.158515,47.634029,na,na,na,total,na,na,na,na
38,na,na,na,2.1325288,48.79981280000001,na,na,na,total,na,na,na,na
41,na,na,na,-0.03777590000000001,43.0972131,na,na,na,total,na,na,na,na
42,na,na,na,5.027531199999999,43.951063,na,na,na,total,na,na,na,na
47,na,na,na,1.9506124,48.9426231,na,na,na,total,na,na,na,na
