,dateReferentiel,route,longueur,prD,depPrD,concessionPrD,absD,cumulD,xD,yD,zD,prF,depPrF,concessionPrF,absF,cumulF,xF,yF,zF,anneeMesureTrafic,typeComptageTrafic,TMJA,ratioPL,lonD,latD,lonF,latF
9,2018-01-01,A0001,2818,8,93,N,700,8707,658431.5,6871533.03,0,11,93,N,513,11525,660672.78,6873225.94,0,2018,1.0,185162,5.0,2.432529395278441,48.94242219677987,2.462967987716125,48.95778617189834
13,2018-01-01,A0001,1499,19,95,C,0,18995,665467.74,6878850.94,0,20,95,C,499,20494,665966.61,6880317.6,0,2018,1.0,100680,16.91,2.527984639653025,49.0086415367538,2.534685310737399,49.02185597150763
14,2018-01-01,A0001,"0,8",20,95,C,499,20494,665966.61,6880317.6,0,20,95,C,"499,8","20494,8",665966.84,6880318.28,0,2018,1.0,100680,16.91,2.534685310737399,49.02185597150763,2.53468840050753,49.02186209803403
15,2018-01-01,A0001,"241,2",20,95,C,"499,8","20494,8",665966.84,6880318.28,0,20,95,C,741,20736,666035.68,6880520.91,0,2018,1.0,100680,16.91,2.53468840050753,49.02186209803403,2.5356132870302135,49.02368772371014
16,2018-01-01,A0001,7132,20,95,C,741,20736,666035.68,6880520.91,0,27,95,C,873,27868,667209.16,6887482.91,0,2018,1.0,100680,16.91,2.5356132870302135,49.02368772371014,2.5511165439105903,49.08634683425962
17,2018-01-01,A0001,2777,27,95,C,873,27868,667209.16,6887482.91,0,30,95,C,650,30645,667345.96,6890249.01,0,2018,1.0,88791,17.67,2.5511165439105903,49.08634683425962,2.5527747374637366,49.111223871379856
18,2018-01-01,A0001,1610,30,95,C,650,30645,667345.96,6890249.01,0,32,60,C,260,32255,667686.98,6891811.72,0,2018,1.0,88791,17.67,2.5527747374637366,49.111223871379856,2.557325217258427,49.12529123896286
19,2018-01-01,A0001,10166,32,60,C,260,32255,667686.98,6891811.72,0,42,60,C,426,42421,671659.18,6900723.98,0,2018,1.0,85618,18.19,2.557325217258427,49.12529123896286,2.611140484716278,49.20560447519147
20,2018-01-01,A0001,1694,42,60,C,426,42421,671659.18,6900723.98,0,44,60,C,120,44115,672898.32,6901829.46,0,2018,1.0,61617,22.58,2.611140484716278,49.20560447519147,2.6280708100028116,49.21559647145249
21,2018-01-01,A0001,"6449,1",44,60,C,120,44115,672898.32,6901829.46,0,50,60,C,"569,1","50564,1",677122.54,6906581.91,0,2018,1.0,67431,22.89,2.6280708100028116,49.21559647145249,2.6857815821234174,49.258485214899885
22,2018-01-01,A0001,"6630,9",50,60,C,"569,1","50564,1",677122.54,6906581.91,0,57,60,C,200,57195,677153.63,6912926.46,0,2018,1.0,67431,22.89,2.6857815821234174,49.258485214899885,2.685861919243617,49.31551994278698
23,2018-01-01,A0001,540,57,60,C,200,57195,677153.63,6912926.46,0,57,60,C,740,57735,677266.69,6913453.96,0,2018,1.0,67431,22.89,2.685861919243617,49.31551994278698,2.6873877654008274,49.32026572552628
24,2018-01-01,A0001,8733,57,60,C,740,57735,677266.69,6913453.96,0,66,60,C,473,66468,678037.69,6921956.81,0,2018,1.0,60276,24.35,2.6873877654008274,49.32026572552628,2.697542033123256,49.396722416100616
25,2018-01-01,A0001,14075,66,60,C,473,66468,678037.69,6921956.81,0,80,60,C,548,80543,679798.6,6935804.41,0,2018,1.0,56362,25.29,2.697542033123256,49.396722416100616,2.721118985565286,49.521239427881845
26,2018-01-01,A0001,11468,80,60,C,548,80543,679798.6,6935804.41,0,92,60,C,16,92011,682330.82,6946951.22,0,2018,1.0,56772,25.1,2.721118985565286,49.521239427881845,2.755599844431155,49.62148718717302
27,2018-01-01,A0001,9286,92,60,C,16,92011,682330.82,6946951.22,0,101,80,C,302,101297,683521.06,6956096.26,0,2018,1.0,56772,25.1,2.755599844431155,49.62148718717302,2.771697423936466,49.703693881360024
28,2018-01-01,A0001,17216,101,80,C,302,101297,683521.06,6956096.26,0,118,80,C,518,118513,687952.35,6972646.77,0,2018,1.0,53825,25.69,2.771697423936466,49.703693881360024,2.8326031044149387,49.85249168290555
29,2018-01-01,A0001,2964,118,80,C,518,118513,687952.35,6972646.77,0,121,80,C,482,121477,688279.75,6975587.31,0,2018,1.0,66563,24.44,2.8326031044149387,49.85249168290555,2.837067867163672,49.878914344185596
30,2018-01-01,A0001,10318,121,80,C,482,121477,688279.75,6975587.31,0,131,80,C,800,131795,690053.14,6985652.09,0,2018,1.0,66931,25.17,2.837067867163672,49.878914344185596,2.8614755997273837,49.96935578471309
31,2018-01-01,A0001,4966,131,80,C,800,131795,690053.14,6985652.09,0,136,80,C,766,136761,691300.52,6990418.63,0,2018,1.0,67588,24.99,2.8614755997273837,49.96935578471309,2.8787452051009326,50.01218806869665
32,2018-01-01,A0001,2220,136,80,C,766,136761,691300.52,6990418.63,0,138,80,C,986,138981,691699.49,6992566.8,0,2018,1.0,44088,25.92,2.8787452051009326,50.01218806869665,2.884262220727895,50.031487909137255
