,Identifiant aire logistique dense (e1),Région d'implantation,location,longitude,latitude,centroid,centroid_coord,distance_to_centroid,h2_kg_demand
0,1,52,"(47.2733517, -2.2138905)",-2.2138905,47.2733517,0,[47.2733517 -2.2138905],0.0,501.76
4,20,52,"(47.4683081, -0.4932941)",-0.4932941,47.4683081,4,[47.2650187 -0.6867145],26.91217889326169,788.48
175,1078,52,"(48.0073849, 0.1967849)",0.1967849,48.0073849,2,[48.0073849  0.1967849],6.212922062071199e-15,430.08000000000004
181,1127,52,"(47.0617293, -0.8801349)",-0.8801349,47.0617293,4,[47.2650187 -0.6867145],26.941966684238604,788.48
195,1223,52,"(47.1224436, -1.6345992)",-1.6345992,47.1224436,3,[47.20982075 -1.56336125],11.114710188520887,752.64
223,1461,52,"(48.3304943, 1.6561556)",1.6561556,48.3304943,1,[48.3304943  1.6561556],1.6464046612359015e-14,430.08000000000004
264,1962,52,"(47.2971979, -1.4921233)",-1.4921233,47.2971979,3,[47.20982075 -1.56336125],11.110535830696165,985.5999999999999
296,2494,52,"(46.7141667, -1.3133333)",-1.3133333,46.7141667,5,[46.6923549  -1.37015155],4.975971103526953,322.56
319,3304,52,"(46.6705431, -1.4269698)",-1.4269698,46.6705431,5,[46.6923549  -1.37015155],4.977494573950845,322.56
2,12,24,"(47.4413885, 0.7456752)",0.7456752,47.4413885,0,[47.4413885  0.7456752],0.0,448.0
27,176,24,"(48.7166545, 1.3650922)",1.3650922,48.7166545,1,[48.5802573  1.4266178],15.830794817941364,322.56
34,205,24,"(47.8320024, 1.9682549)",1.9682549,47.8320024,2,[47.88095413  1.87278783],8.981149430374249,591.36
92,543,24,"(48.4438601, 1.4881434)",1.4881434,48.4438601,1,[48.5802573  1.4266178],15.83395089785955,770.56
103,591,24,"(47.7083642, 1.5062706)",1.5062706,47.7083642,4,[47.64802515  1.42001725],9.324897328555394,376.32
113,662,24,"(47.9231036, 2.0078601)",2.0078601,47.9231036,2,[47.88095413  1.87278783],11.133330388879102,394.24
128,749,24,"(47.0811658, 2.399125)",2.399125,47.0811658,3,[46.95077215  2.0381103 ],31.041705961325846,412.16
136,796,24,"(48.0217518, 2.738158032225153)",2.738158032225153,48.0217518,5,[48.0217518   2.73815803],0.0,430.08000000000004
150,870,24,"(47.9418133, 1.8182308)",1.8182308,47.9418133,2,[47.88095413  1.87278783],7.900808289204261,1881.6
196,1233,24,"(46.8203785, 1.6770956)",1.6770956,46.8203785,3,[46.95077215  2.0381103 ],31.1005882573168,376.32
220,1452,24,"(47.8268972, 1.6968055)",1.6968055,47.8268972,2,[47.88095413  1.87278783],14.47647559475951,860.1600000000001
291,2416,24,"(47.5876861, 1.3337639)",1.3337639,47.5876861,4,[47.64802515  1.42001725],9.330031743325945,358.4
5,23,28,"(49.5032616, 0.2631791)",0.2631791,49.5032616,1,[49.50110296  0.27469962],0.8683198608511429,537.5999999999999
45,272,28,"(49.5188282, 0.534411)",0.534411,49.5188282,1,[49.50110296  0.27469962],18.911798809235744,358.4
89,536,28,"(49.2716839, 1.2128992)",1.2128992,49.2716839,2,[49.2721432   1.12658455],6.281552728402494,770.56
101,577,28,"(49.3831, 1.09163)",1.09163,49.3831,2,[49.2721432   1.12658455],12.599049962255966,412.16
131,764,28,"(49.4938975, 0.1079732)",0.1079732,49.4938975,1,[49.50110296  0.27469962],12.104258154182144,1003.52
186,1158,28,"(49.4068986, 1.0507926)",1.0507926,49.4068986,2,[49.2721432   1.12658455],15.967108276889771,896.0
193,1197,28,"(49.49563, 0.3599616)",0.3599616,49.49563,1,[49.50110296  0.27469962],6.20621186467426,949.7600000000001
327,3558,28,"(49.0268903, 1.1510164)",1.1510164,49.0268903,2,[49.2721432   1.12658455],27.33339488626003,591.36
328,3559,28,"(49.1771038, -0.3202231)",-0.3202231,49.1771038,0,[49.1771038 -0.3202231],0.0,519.6800000000001
