,Région d'implantation,centroid,centroid_coord,h2_kg_demand,stations_type,latitude,longitude,station_utilization_rate
0,11,0,[48.66492313  2.56267   ],2365.44,large,48.66492313,2.56267,Util. rate = 59.14%
1,11,1,[48.8437504   2.69686735],2490.88,large,48.8437504,2.69686735,Util. rate = 62.27%
2,11,2,[48.8551389   2.29200547],6827.5199999999995,large,48.8551389,2.29200547,Util. rate = 170.69%
3,11,3,[49.05735405  2.4884015 ],2687.9999999999995,large,49.05735405,2.4884015,Util. rate = 67.2%
4,11,4,[48.3849647  2.9557006],286.71999999999997,small,48.3849647,2.9557006,Util. rate = 28.67%
5,11,5,[45.18516  1.19692],537.5999999999999,small,45.18516,1.19692,Util. rate = 53.76%
6,11,6,[48.7876   2.39164],2150.3999999999996,large,48.7876,2.39164,Util. rate = 53.76%
7,11,7,[48.56284157  2.62943647],1397.76,medium,48.56284157,2.62943647,Util. rate = 69.89%
8,11,8,[49.9905624  2.8478956],465.91999999999996,small,49.9905624,2.8478956,Util. rate = 46.59%
9,11,9,[46.6591772  5.7302769],179.2,small,46.6591772,5.7302769,Util. rate = 17.92%
10,11,10,[49.1573165  2.3301301],555.52,small,49.1573165,2.3301301,Util. rate = 55.55%
11,11,11,[48.6461655   2.27227325],1397.7599999999998,medium,48.6461655,2.27227325,Util. rate = 69.89%
12,11,12,[49.0173119   2.13607305],1809.92,medium,49.0173119,2.13607305,Util. rate = 90.5%
13,11,13,[48.7246201   2.78704575],609.28,small,48.7246201,2.78704575,Util. rate = 60.93%
14,11,14,[48.74002145  2.3370667 ],2885.12,large,48.74002145,2.3370667,Util. rate = 72.13%
15,11,15,[48.63379555  2.3978135 ],1451.5199999999998,medium,48.63379555,2.3978135,Util. rate = 72.58%
16,11,16,[48.57695865  2.47003715],1128.96,medium,48.57695865,2.47003715,Util. rate = 56.45%
17,11,17,[48.9692581  2.9349893],179.2,small,48.9692581,2.9349893,Util. rate = 17.92%
18,11,18,[48.99262965  1.8226483 ],573.4399999999999,small,48.99262965,1.8226483,Util. rate = 57.34%
19,11,19,[48.98355525  2.62235262],1774.08,medium,48.98355525,2.62235262,Util. rate = 88.7%
20,11,20,[48.77210695  1.9740938 ],913.9200000000001,small,48.77210695,1.9740938,Util. rate = 91.39%
21,24,0,[49.44561  5.00451],268.79999999999995,small,49.44561,5.00451,Util. rate = 26.88%
22,24,1,[47.3898152  0.7189761],250.88,small,47.3898152,0.7189761,Util. rate = 25.09%
23,24,2,[48.5500968 -0.595787 ],125.44,small,48.5500968,-0.595787,Util. rate = 12.54%
24,24,3,[47.6410716  2.7413128],125.44,small,47.6410716,2.7413128,Util. rate = 12.54%
25,24,4,[47.64802515  1.42001725],734.72,small,47.64802515,1.42001725,Util. rate = 73.47%
26,24,5,[48.2865494   2.39728196],197.12,small,48.2865494,2.39728196,Util. rate = 19.71%
27,24,6,[46.93530816  1.62710868],1003.52,medium,46.93530816,1.62710868,Util. rate = 50.18%
28,24,7,[48.321809   0.8211488],125.44,small,48.321809,0.8211488,Util. rate = 12.54%
29,24,8,[47.3511161  0.6622353],161.28,small,47.3511161,0.6622353,Util. rate = 16.13%
30,24,9,[47.4413885  0.7456752],448.0,small,47.4413885,0.7456752,Util. rate = 44.8%
31,24,10,[47.4432628  0.991226 ],107.52000000000001,small,47.4432628,0.991226,Util. rate = 10.75%
32,24,11,[48.58967438  1.45838964],1433.6,medium,48.58967438,1.45838964,Util. rate = 71.68%
33,24,12,[47.8803224   2.05645272],1308.16,medium,47.8803224,2.05645272,Util. rate = 65.41%
34,24,13,[48.0217518   2.73815803],430.08000000000004,small,48.0217518,2.73815803,Util. rate = 43.01%
35,24,14,[47.0811658  2.399125 ],412.16,small,47.0811658,2.399125,Util. rate = 41.22%
36,24,15,[47.89987537  1.81197487],2849.28,large,47.89987537,1.81197487,Util. rate = 71.23%
37,27,0,[47.0371   5.40338],125.44,small,47.0371,5.40338,Util. rate = 12.54%
38,27,1,[47.4575385  5.5818459],89.6,small,47.4575385,5.5818459,Util. rate = 8.96%
39,27,2,[46.4810422  3.9786291],215.04000000000002,small,46.4810422,3.9786291,Util. rate = 21.5%
40,27,3,[47.507832   6.8617959],232.95999999999998,small,47.507832,6.8617959,Util. rate = 23.3%
41,27,4,[47.2380222  6.0243622],394.24,small,47.2380222,6.0243622,Util. rate = 39.42%
42,27,5,[49.0984117  1.454725 ],125.44,small,49.0984117,1.454725,Util. rate = 12.54%
43,27,6,[46.9040348  6.3546345],107.52000000000001,small,46.9040348,6.3546345,Util. rate = 10.75%
